01E12444-0461-1,西方文艺思想专题研究,段吉方,"周二第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,5－307,文学院..
01E1326b-0441-1,现代汉语（2）,张舸,周三第3节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,3－206,文学院..
01E1326b-0441-1,现代汉语（2）,张舸,"周三第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,3－206,文学院..
01E1326b-0455-1,现代汉语（2）,练春招,"周四第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,1－204,文学院..
01E1326b-0455-1,现代汉语（2）,练春招,周四第7节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,1－204,文学院..
01E1326b-5134-1,现代汉语（2）,练春招,"周四第9,10,11节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,1－205,文学院..
01E1326b-5134-2,现代汉语（2）,郑武曦,"周四第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,2－202,文学院..
01E1326b-5134-2,现代汉语（2）,郑武曦,周四第7节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,1,2－202,文学院..
01E13645-3473-1,现代汉语语法学,董祥冬,"周四第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,5－409,文学院..
01E15945-3684-1,训诂学,郭浩瑜,"周三第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,5－104,文学院..
01E16241-2536-1,演讲学,肖海薇,"周二第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,4－206,文学院..
01E16241-2536-2,演讲学,肖海薇,"周二第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,4－206,文学院..
01E1736f-0392-1,应用写作,涂成林,"周六第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,0,南204,文学院..
01E1796f-5235-1,语言学概论,秦绿叶,"周六第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,0,南204,文学院..
01E1796f-5235-1,语言学概论,秦绿叶,"周六第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,0,南204,文学院..
01E18446-3688-1,元明清诗文专题研究,邓丹,"周四第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,2－404,文学院..
01E1936f-0334-1,中国当代文学,杜韶容,"周六第7,8节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,0,南402,文学院..
01E1936f-0334-1,中国当代文学,杜韶容,"周六第5,6节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , , ,0,南402,文学院..
01E19644-0464-1,中国古代文论,陈立群,"周二第3,4节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,4－106,文学院..
01E1986b-0383-1,中国古代文学（2）,叶祖帅,"周一第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－105,文学院..
01E1986b-0383-1,中国古代文学（2）,叶祖帅,周一第3节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－105,文学院..
01E1986b-2893-1,中国古代文学（2）,孙雪霞,"周四第9,10,11节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－201,文学院..
01E1986b-3894-1,中国古代文学（2）,肖少宋,周一第3节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－201,文学院..
01E1986b-3894-1,中国古代文学（2）,肖少宋,"周一第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－201,文学院..
01E1986d-0415-1,中国古代文学（4）,李光摩,周一第3节,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－103,文学院..
01E1986d-0415-1,中国古代文学（4）,李光摩,"周一第1,2节",★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★, , , ,1,1－103,文学院..
